# time roll pitch roll
1609761769088656022 -8.55108 -7.98425 180.607
1609761769093656022 -8.50455 -7.95216 180.6
1609761769098656022 -8.55112 -7.9843 180.607
1609761769103656022 -8.49546 -7.99854 180.599
1609761769108656022 -8.43978 -8.01276 180.591
1609761769113656022 -8.40514 -8.05863 180.586
1609761769118656022 -8.37038 -8.10442 180.582
1609761769123656022 -8.41626 -8.06954 180.588
1609761769128656022 -8.46214 -8.03464 180.594
1609761769133656022 -8.4937 -7.98665 180.599
1609761769138656022 -8.52523 -7.93865 180.603
1609761769143656022 -8.57137 -7.97139 180.61
1609761769148656022 -8.6175 -8.00411 180.616
1609761769153656022 -8.56131 -8.016 180.608
1609761769158656022 -8.50513 -8.0279 180.6
1609761769163656022 -8.53559 -7.97923 180.605
1609761769168656022 -8.50513 -8.02789 180.6
1609761769173656022 -8.45356 -8.00427 180.593
1609761769178656022 -8.402 -7.98065 180.586
1609761769183656022 -8.38094 -7.92829 180.583
1609761769188656022 -8.35989 -7.87594 180.58
1609761769193656022 -8.39037 -7.92344 180.585
1609761769198656022 -8.42085 -7.97092 180.589
1609761769203656022 -8.41942 -8.0277 180.589
1609761769208656022 -8.41716 -8.08448 180.588
1609761769213656022 -8.46855 -8.05838 180.595
1609761769218656022 -8.51992 -8.03226 180.603
1609761769223656022 -8.56985 -8.0591 180.61
1609761769228656022 -8.61976 -8.08595 180.617
1609761769233656022 -8.5626 -8.08422 180.609
1609761769238656022 -8.50543 -8.08248 180.601
1609761769243656022 -8.50061 -8.02602 180.6
1609761769248656022 -8.49578 -7.96956 180.599
1609761769253656022 -8.47858 -8.02404 180.597
1609761769258656022 -8.4611 -8.07844 180.594
1609761769263656022 -8.51414 -8.05593 180.602
1609761769268656022 -8.56697 -8.03289 180.609
1609761769273656022 -8.60467 -8.07488 180.615
1609761769278656022 -8.5669 -8.03301 180.609
1609761769283656022 -8.59753 -7.98446 180.614
1609761769288656022 -8.56688 -8.033 180.609
1609761769293656022 -8.51713 -8.06206 180.602
1609761769298656022 -8.46738 -8.09112 180.595
1609761769303656022 -8.47277 -8.03453 180.596
1609761769308656022 -8.47816 -7.97792 180.597
1609761769313656022 -8.42583 -7.95601 180.59
1609761769318656022 -8.47819 -7.97803 180.597
1609761769323656022 -8.43768 -7.93877 180.591
1609761769328656022 -8.3972 -7.89949 180.586
1609761769333656022 -8.44013 -7.93627 180.592
1609761769338656022 -8.48304 -7.97304 180.598
1609761769343656022 -8.51529 -8.01933 180.602
1609761769348656022 -8.54753 -8.06561 180.607
1609761769353656022 -8.59107 -8.10161 180.613
1609761769358656022 -8.63405 -8.1383 180.619
1609761769363656022 -8.59296 -8.09964 180.613
1609761769368656022 -8.55185 -8.06097 180.607
1609761769373656022 -8.50655 -8.02719 180.601
1609761769378656022 -8.46124 -7.99342 180.595
1609761769383656022 -8.43941 -7.94139 180.592
1609761769388656022 -8.4176 -7.88936 180.589
1609761769393656022 -8.46046 -7.92622 180.595
1609761769398656022 -8.5033 -7.96307 180.601
1609761769403656022 -8.49386 -8.01926 180.599
1609761769408656022 -8.48427 -8.07541 180.598
1609761769413656022 -8.53007 -8.04041 180.604
1609761769418656022 -8.57585 -8.0054 180.611
1609761769423656022 -8.52329 -8.02888 180.603
1609761769428656022 -8.47071 -8.05234 180.596
1609761769433656022 -8.42249 -8.02275 180.589
1609761769438656022 -8.37425 -7.99315 180.583
1609761769443656022 -8.4277 -7.97174 180.59
1609761769448656022 -8.48112 -7.9502 180.597
1609761769453656022 -8.49234 -8.00566 180.599
1609761769458656022 -8.50344 -8.06114 180.601
1609761769463656022 -8.5419 -8.01833 180.606
1609761769468656022 -8.50344 -8.06112 180.601
1609761769473656022 -8.52307 -8.00741 180.603
1609761769478656022 -8.50333 -8.06107 180.601
1609761769483656022 -8.53335 -8.01214 180.605
1609761769488656022 -8.56334 -7.9632 180.609
1609761769493656022 -8.53002 -8.01 180.604
1609761769498656022 -8.49668 -8.0568 180.6
1609761769503656022 -8.44026 -8.04827 180.592
1609761769508656022 -8.38385 -8.03972 180.584
1609761769513656022 -8.43431 -8.01186 180.591
1609761769518656022 -8.48475 -7.98397 180.598
1609761769523656022 -8.44925 -8.02919 180.593
1609761769528656022 -8.41371 -8.07439 180.588
1609761769533656022 -8.45408 -8.03329 180.594
1609761769538656022 -8.4944 -7.99218 180.599
1609761769543656022 -8.43885 -7.97966 180.592
1609761769548656022 -8.49445 -7.9922 180.599
1609761769553656022 -8.44498 -8.02172 180.593
1609761769558656022 -8.49445 -7.99217 180.599
1609761769563656022 -8.5017 -8.04831 180.6
1609761769568656022 -8.50895 -8.10446 180.601
1609761769573656022 -8.45251 -8.09615 180.594
1609761769578656022 -8.50901 -8.10442 180.602
1609761769583656022 -8.51427 -8.04781 180.602
1609761769588656022 -8.51949 -7.99119 180.603
1609761769593656022 -8.57595 -7.98057 180.611
1609761769598656022 -8.63239 -7.96992 180.619
1609761769603656022 -8.59352 -8.01234 180.613
1609761769608656022 -8.55464 -8.05476 180.608
1609761769613656022 -8.5065 -8.02501 180.601
1609761769618656022 -8.45834 -7.9953 180.594
1609761769623656022 -8.47748 -7.94144 180.597
1609761769628656022 -8.4965 -7.88752 180.6
1609761769633656022 -8.453 -7.92524 180.594
1609761769638656022 -8.40949 -7.96297 180.588
1609761769643656022 -8.42091 -7.90712 180.589
1609761769648656022 -8.4095 -7.96297 180.588
1609761769653656022 -8.45391 -7.99798 180.594
1609761769658656022 -8.49833 -8.03297 180.6
1609761769663656022 -8.46864 -8.0821 180.596
1609761769668656022 -8.43884 -8.13114 180.592
1609761769673656022 -8.46947 -8.08257 180.596
1609761769678656022 -8.50009 -8.034 180.6
1609761769683656022 -8.55736 -8.03166 180.608
1609761769688656022 -8.6146 -8.02932 180.617
1609761769693656022 -8.55793 -8.02258 180.609
1609761769698656022 -8.50127 -8.01584 180.601
1609761769703656022 -8.53714 -7.97089 180.606
1609761769708656022 -8.57296 -7.9259 180.611
1609761769713656022 -8.51608 -7.93303 180.603
1609761769718656022 -8.45919 -7.94012 180.595
1609761769723656022 -8.43344 -7.88993 180.591
1609761769728656022 -8.45921 -7.94014 180.595
1609761769733656022 -8.48519 -7.99024 180.599
1609761769738656022 -8.45919 -7.9402 180.595
1609761769743656022 -8.51503 -7.92659 180.603
1609761769748656022 -8.45921 -7.94019 180.595
1609761769753656022 -8.40529 -7.92223 180.588
1609761769758656022 -8.45926 -7.94025 180.595
1609761769763656022 -8.41724 -7.90255 180.589
1609761769768656022 -8.3752 -7.86487 180.583
1609761769773656022 -8.40941 -7.90977 180.588
1609761769778656022 -8.44362 -7.95467 180.593
1609761769783656022 -8.47054 -8.00428 180.597
1609761769788656022 -8.49746 -8.05387 180.6
1609761769793656022 -8.54171 -8.08906 180.607
1609761769798656022 -8.58593 -8.12425 180.613
1609761769803656022 -8.63796 -8.0995 180.62
1609761769808656022 -8.68999 -8.07476 180.628
1609761769813656022 -8.63893 -8.0502 180.62
1609761769818656022 -8.58787 -8.02563 180.613
1609761769823656022 -8.53366 -8.00854 180.606
1609761769828656022 -8.47943 -7.99145 180.598
1609761769833656022 -8.42272 -7.98478 180.59
1609761769838656022 -8.36605 -7.97805 180.582
1609761769843656022 -8.3969 -7.92962 180.587
1609761769848656022 -8.42771 -7.88118 180.591
1609761769853656022 -8.41985 -7.93758 180.59
1609761769858656022 -8.41195 -7.99397 180.589
1609761769863656022 -8.46924 -7.99318 180.597
1609761769868656022 -8.5265 -7.99237 180.605
1609761769873656022 -8.54292 -8.04643 180.607
1609761769878656022 -8.55924 -8.10051 180.609
1609761769883656022 -8.54428 -8.04604 180.607
1609761769888656022 -8.52934 -7.99155 180.605
1609761769893656022 -8.47211 -7.99399 180.597
1609761769898656022 -8.52937 -7.99153 180.605
1609761769903656022 -8.47306 -7.9826 180.597
1609761769908656022 -8.52943 -7.99155 180.605
1609761769913656022 -8.49393 -8.03676 180.6
1609761769918656022 -8.4584 -8.08195 180.595
1609761769923656022 -8.51163 -8.10189 180.603
1609761769928656022 -8.56486 -8.12181 180.61
1609761769933656022 -8.52657 -8.08039 180.605
1609761769938656022 -8.4882 -8.03905 180.6
1609761769943656022 -8.43927 -8.01056 180.593
1609761769948656022 -8.48821 -8.03905 180.6
1609761769953656022 -8.4873 -7.98232 180.599
1609761769958656022 -8.48639 -7.92558 180.599
1609761769963656022 -8.4292 -7.92829 180.592
1609761769968656022 -8.37202 -7.93056 180.584
1609761769973656022 -8.42781 -7.9424 180.591
1609761769978656022 -8.37236 -7.92966 180.584
1609761769983656022 -8.42559 -7.94965 180.591
1609761769988656022 -8.47882 -7.96962 180.598
1609761769993656022 -8.48915 -8.02526 180.6
1609761769998656022 -8.49947 -8.08088 180.601
1609761770003656022 -8.47674 -8.13341 180.598
1609761770008656022 -8.45401 -8.18593 180.595
1609761770013656022 -8.44344 -8.13038 180.593
1609761770018656022 -8.43287 -8.07484 180.592
1609761770023656022 -8.42119 -8.01952 180.59
1609761770028656022 -8.40953 -7.96419 180.589
1609761770033656022 -8.40354 -7.90785 180.588
1609761770038656022 -8.39752 -7.85152 180.587
1609761770043656022 -8.42601 -7.90026 180.591
1609761770048656022 -8.45449 -7.94901 180.595
1609761770053656022 -8.4992 -7.98364 180.601
1609761770058656022 -8.54389 -8.01827 180.607
1609761770063656022 -8.51572 -8.06824 180.603
1609761770068656022 -8.48753 -8.11819 180.599
1609761770073656022 -8.49964 -8.06248 180.601
1609761770078656022 -8.51176 -8.00676 180.603
1609761770083656022 -8.50111 -7.9512 180.601
1609761770088656022 -8.49047 -7.89564 180.6
1609761770093656022 -8.43448 -7.90838 180.592
1609761770098656022 -8.37847 -7.9211 180.585
1609761770103656022 -8.4262 -7.9516 180.591
1609761770108656022 -8.47393 -7.98207 180.598
1609761770113656022 -8.52357 -7.95278 180.605
1609761770118656022 -8.57319 -7.92349 180.612
1609761770123656022 -8.53997 -7.97037 180.607
1609761770128656022 -8.50675 -8.01723 180.602
1609761770133656022 -8.50017 -7.96097 180.601
1609761770138656022 -8.49316 -7.90478 180.6
1609761770143656022 -8.46405 -7.95422 180.596
1609761770148656022 -8.43492 -8.00364 180.592
1609761770153656022 -8.44753 -7.94804 180.594
1609761770158656022 -8.46001 -7.8924 180.596
1609761770163656022 -8.49729 -7.93479 180.601
1609761770168656022 -8.53454 -7.97718 180.606
1609761770173656022 -8.57458 -8.01699 180.612
1609761770178656022 -8.61462 -8.05679 180.617
1609761770183656022 -8.57406 -8.01755 180.612
1609761770188656022 -8.53352 -7.97828 180.606
1609761770193656022 -8.47884 -7.9626 180.599
1609761770198656022 -8.42417 -7.94693 180.591
1609761770203656022 -8.37484 -7.91914 180.584
1609761770208656022 -8.42424 -7.947 180.591
1609761770213656022 -8.40323 -7.89464 180.588
1609761770218656022 -8.38223 -7.84228 180.585
1609761770223656022 -8.4084 -7.89232 180.589
1609761770228656022 -8.43456 -7.94234 180.592
1609761770233656022 -8.47939 -7.97681 180.599
1609761770238656022 -8.52421 -8.01126 180.605
1609761770243656022 -8.56109 -8.05397 180.61
1609761770248656022 -8.59793 -8.09668 180.615
1609761770253656022 -8.56242 -8.0529 180.61
1609761770258656022 -8.52691 -8.0091 180.605
1609761770263656022 -8.47055 -8.02008 180.597
1609761770268656022 -8.41418 -8.03107 180.59
1609761770273656022 -8.41878 -7.9744 180.59
1609761770278656022 -8.42337 -7.91772 180.591
1609761770283656022 -8.45574 -7.87025 180.595
1609761770288656022 -8.42338 -7.91769 180.591
1609761770293656022 -8.43 -7.97397 180.592
1609761770298656022 -8.43659 -8.03022 180.593
1609761770303656022 -8.46974 -7.98327 180.597
1609761770308656022 -8.50286 -7.9363 180.602
1609761770313656022 -8.51155 -7.99224 180.603
1609761770318656022 -8.5202 -8.04819 180.604
1609761770323656022 -8.463 -8.04748 180.596
1609761770328656022 -8.40578 -8.04676 180.588
1609761770333656022 -8.46006 -8.02754 180.596
1609761770338656022 -8.51432 -8.00828 180.604
1609761770343656022 -8.49828 -7.95414 180.601
1609761770348656022 -8.48221 -7.89999 180.599
1609761770353656022 -8.48137 -7.95678 180.599
1609761770358656022 -8.48044 -8.01357 180.599
1609761770363656022 -8.53771 -8.01217 180.607
1609761770368656022 -8.59498 -8.01071 180.615
1609761770373656022 -8.54936 -8.04588 180.609
1609761770378656022 -8.595 -8.01068 180.615
1609761770383656022 -8.58144 -8.06609 180.613
1609761770388656022 -8.59291 -8.01029 180.615
1609761770393656022 -8.5366 -8.00135 180.607
1609761770398656022 -8.48027 -7.9924 180.599
1609761770403656022 -8.43195 -7.96292 180.592
1609761770408656022 -8.38363 -7.93347 180.586
1609761770413656022 -8.39559 -7.98878 180.587
1609761770418656022 -8.40755 -8.04408 180.589
1609761770423656022 -8.45302 -8.00866 180.595
1609761770428656022 -8.49848 -7.97322 180.602
1609761770433656022 -8.55276 -7.99022 180.609
1609761770438656022 -8.60705 -8.0072 180.617
1609761770443656022 -8.60616 -8.06396 180.617
1609761770448656022 -8.60525 -8.12073 180.617
1609761770453656022 -8.5504 -8.10567 180.609
1609761770458656022 -8.49553 -8.09059 180.601
1609761770463656022 -8.45753 -8.04887 180.596
1609761770468656022 -8.41954 -8.00717 180.59
1609761770473656022 -8.40558 -7.95241 180.589
1609761770478656022 -8.39133 -7.89773 180.587
1609761770483656022 -8.36758 -7.94985 180.583
1609761770488656022 -8.34168 -8.00098 180.58
1609761770493656022 -8.39872 -7.99435 180.588
1609761770498656022 -8.45575 -7.98769 180.596
1609761770503656022 -8.50954 -8.00611 180.603
1609761770508656022 -8.56333 -8.02448 180.611
1609761770513656022 -8.5957 -7.97703 180.615
1609761770518656022 -8.56326 -8.02444 180.611
1609761770523656022 -8.51019 -8.04677 180.603
1609761770528656022 -8.45703 -8.06887 180.596
1609761770533656022 -8.45003 -8.01269 180.595
1609761770538656022 -8.44302 -7.9565 180.594
1609761770543656022 -8.43349 -7.90073 180.593
