# time w x y z
1609761769718656022 0.994892 -0.0732172 -0.069428 5.87689e-05
1609761769723656022 0.994939 -0.0730003 -0.0689899 7.60544e-05
1609761769728656022 0.994892 -0.0732174 -0.0694282 5.91672e-05
1609761769733656022 0.994845 -0.0734362 -0.0698655 4.22485e-05
1609761769738656022 0.994892 -0.0732172 -0.0694287 5.91307e-05
1609761769743656022 0.994864 -0.0736985 -0.0693155 0.000101154
1609761769748656022 0.994892 -0.0732173 -0.0694286 5.93859e-05
1609761769753656022 0.994937 -0.0727553 -0.0692679 3.91408e-05
1609761769758656022 0.994892 -0.0732177 -0.0694291 5.95037e-05
1609761769763656022 0.994941 -0.0728598 -0.0690982 5.89057e-05
1609761769768656022 0.99499 -0.0725015 -0.0687673 5.83925e-05
1609761769773656022 0.994942 -0.0727918 -0.0691602 4.99653e-05
1609761769778656022 0.994893 -0.0730819 -0.069553 4.15397e-05
1609761769783656022 0.994846 -0.0733089 -0.0699861 2.5681e-05
1609761769788656022 0.994799 -0.0735358 -0.070419 9.86043e-06
1609761769793656022 0.994749 -0.0739129 -0.0707285 1.37775e-05
1609761769798656022 0.994699 -0.0742896 -0.071038 1.76388e-05
1609761769803656022 0.99468 -0.0747391 -0.070828 6.5585e-05
1609761769808656022 0.994661 -0.0751885 -0.0706181 0.00011348
1609761769813656022 0.99471 -0.074752 -0.0704002 9.89445e-05
1609761769818656022 0.994758 -0.0743153 -0.0701822 8.44563e-05
1609761769823656022 0.994803 -0.0738509 -0.070029 6.31198e-05
1609761769828656022 0.994848 -0.0733863 -0.0698757 4.18839e-05
1609761769833656022 0.994889 -0.0728994 -0.0698128 1.22993e-05
1609761769838656022 0.994929 -0.0724127 -0.0697493 -1.71452e-05
1609761769843656022 0.994938 -0.0726822 -0.0693316 3.22722e-05
1609761769848656022 0.994947 -0.0729515 -0.0689138 8.1644e-05
1609761769853656022 0.994919 -0.0728789 -0.0694028 4.08258e-05
1609761769858656022 0.99489 -0.072806 -0.0698915 -6.14783e-08
