# time x y z
1609761769388656022 -0.0063918 -0.0042612 0.0042612
1609761769393656022 -0.0063918 -0.0031959 0.0031959
1609761769398656022 -0.0053265 -0.0031959 0.0021306
1609761769403656022 -0.0053265 -0.0042612 0.0031959
1609761769408656022 -0.0042612 -0.0031959 0.0010653
1609761769413656022 -0.0031959 0.0010653 0.0010653
1609761769418656022 -0.0021306 0.0010653 0.0031959
1609761769423656022 -0.0042612 0 0.0031959
1609761769428656022 -0.0042612 0 0.0021306
1609761769433656022 -0.0053265 -0.0021306 0.0021306
1609761769438656022 -0.0042612 -0.0010653 0.0010653
1609761769443656022 -0.0031959 -0.0042612 -0.0010653
1609761769448656022 -0.0063918 -0.0021306 0.0010653
1609761769453656022 -0.0074571 -0.0021306 0
1609761769458656022 -0.0063918 -0.0021306 0.0010653
1609761769463656022 -0.0031959 -0.0021306 0.0021306
1609761769468656022 -0.0042612 -0.0021306 0.0031959
1609761769473656022 -0.0063918 -0.0021306 0.0042612
1609761769478656022 -0.0053265 0 0.0021306
1609761769483656022 -0.0031959 -0.0010653 0.0010653
1609761769488656022 0 -0.0010653 0.0010653
1609761769493656022 -0.0042612 0 0.0021306
1609761769498656022 -0.0031959 -0.0031959 0.0031959
1609761769503656022 -0.0021306 -0.0031959 0.0042612
1609761769508656022 -0.0031959 -0.0021306 0.0021306
1609761769513656022 -0.0042612 -0.0021306 0.0031959
1609761769518656022 -0.0042612 -0.0010653 0.0031959
1609761769523656022 -0.0053265 -0.0031959 0.0021306
1609761769528656022 -0.0053265 -0.0021306 0
1609761769533656022 -0.0074571 0 0.0010653
1609761769538656022 -0.0053265 -0.0010653 0.0031959
1609761769543656022 -0.0010653 -0.0031959 0.0021306
1609761769548656022 -0.0042612 -0.0031959 0.0010653
1609761769553656022 -0.0031959 -0.0010653 0.0021306
1609761769558656022 0 -0.0010653 0.0021306
1609761769563656022 -0.0021306 0.0021306 0.0010653
1609761769568656022 -0.0042612 0.0010653 0.0031959
1609761769573656022 -0.0053265 -0.0042612 0.0053265
1609761769578656022 -0.0021306 -0.0053265 0.0042612
1609761769583656022 -0.0074571 -0.0021306 0
1609761769588656022 -0.0063918 -0.0010653 0.0010653
1609761769593656022 -0.0042612 -0.0031959 0.0021306
1609761769598656022 -0.0042612 -0.0010653 0.0021306
1609761769603656022 -0.0021306 -0.0010653 0.0053265
1609761769608656022 -0.0021306 0 0.0042612
1609761769613656022 -0.0031959 0.0010653 0.0042612
1609761769618656022 -0.0010653 -0.0010653 0.0031959
1609761769623656022 -0.0010653 -0.0031959 0
1609761769628656022 -0.0042612 0 0.0010653
1609761769633656022 -0.0042612 0 0.0031959
1609761769638656022 -0.0053265 -0.0031959 0.0021306
1609761769643656022 -0.0063918 -0.0010653 0.0031959
1609761769648656022 -0.0053265 -0.0021306 0.0021306
1609761769653656022 -0.0053265 -0.0031959 0.0042612
1609761769658656022 -0.0074571 -0.0021306 0.0031959
1609761769663656022 -0.0053265 -0.0053265 0.0021306
1609761769668656022 -0.0042612 -0.0010653 0.0021306
1609761769673656022 -0.0021306 -0.0010653 0.0031959
1609761769678656022 -0.0031959 -0.0010653 0.0042612
1609761769683656022 -0.0053265 0 0.0010653
1609761769688656022 -0.0021306 -0.0010653 0.0021306
1609761769693656022 -0.0042612 0 0.0010653
1609761769698656022 -0.0053265 0 -0.0010653
1609761769703656022 -0.0053265 -0.0021306 0
1609761769708656022 -0.0042612 -0.0021306 0
1609761769713656022 -0.0063918 -0.0021306 0.0010653
1609761769718656022 -0.0063918 0.0010653 0.0021306
1609761769723656022 -0.0053265 0.0010653 0.0053265
1609761769728656022 -0.0042612 -0.0021306 0.0053265
1609761769733656022 -0.0053265 -0.0031959 0
1609761769738656022 -0.0042612 -0.0010653 0.0010653
